ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
36-11,30/03/23 16:30:43,https://twitter.com/WinwinEklabu/status/1571666505510825984?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6460,7121,Metro Manila,"The 50th Anniversary of Martial Law on Sept. 21, 2022 The Man! The hero! The Savior! This is the man who saved the Philippines from the hands of the Communists. When Ferdinand E. Marcos declared Martial Law, the Philippines became peaceful and law and order was established.",,"Text, Image",19/09/22 09:04,https://drive.google.com/file/d/1H5Pf4iNwJWBYzZr6ZJO6oary8W9Owhr6/view?usp=share_link,Emotional,720,83,443,209,,MISLEADING,"Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 

Thousands of law-abiding citizens experienced human rights violations during Martial Law.

",Tweet includes an image of a PhilStar publicational material about the declaration of Martial Law.,,,,,
36-12,30/03/23 16:39:50,https://twitter.com/eWings747/status/1572417580207583232?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@eWings747,eWings,"“Delight yourself also in the Lord, and He shall give you the desires of your heart”",Anonymous,03/22,2938,3108,(Not stated),Maligayang Araw ng Batas Militar!  Ang Batas Militar ay naging maPAYAPA at nagpaYAMAN sa Pilipinas! It also became an obstacle for the Philippines  to become a communist country! Agree? Me: The best thing that ever happened to the Philippines! Thanks to Martial Law!,,"Text, Image",21/09/22 10:48,https://drive.google.com/file/d/1PeLdtP226e06njHio4Qi387zk1tW3UF3/view?usp=share_link,Emotional,24,0,11,0,,MISLEADING,"Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 

Thousands of law-abiding citizens experienced human rights violations during Martial Law.

FEM Administration did not mark the ""Golden Era;"" economy plummeted during this time.","Tweet includes a charicature of FEM, commemorating the Martial Law announcement.",,,,,
36-13,30/03/23 17:15:38,https://twitter.com/n4n4daim3/status/1572579870382886913,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@n4n4daim3,IAmIntrovert_mj,"99% dedicated feed #Duterte 👊🏻 #BBM ✌🏻
Follow all 🇵🇭Govt socmed accounts.
Bardagulero but ain't a clout-chaser.
Twitter is toxic. Enter at your own risk.",Anonymous,11/10,1977,1117,(Not stated),"Never Forget.
Proclamation No. 1081 or Martial LW Declaration was NECESSARY.
Salamat Apo Lakay.
#HappyMartialLawDay

alt-text: Tweet includes a photo quoting PFEM: ""So long as I'm president, communism will not thrive here.""",,"Text, Image",21/09/22 21:33,https://drive.google.com/file/d/1MfkITuq53Bo-jxuKKBA0drxZFGscnWmD/view?usp=share_link,Emotional,10,0,4,0,,MISLEADING,"Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 
","Tweet includes a photo quoting PFEM: ""So long as I'm president, communism will not thrive here.""",,,,,
36-14,30/03/23 17:28:37,https://twitter.com/wilbvzs/status/1572579973415972866,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@wilbvzs,Wilbvzs⁷,"BTS forever!💜
OT7💜",Anonymous,07/18,71,4,"San Fernando City, LU, Phils","- described by many Filipinos na pasaway at hindi sumusunod sa batas during ng Martial law as one of the darkest chapters ng buhay nila in Philippine history. 
#HappyMartialLawDay",,"Text, Reply",21/09/22 21:34,https://drive.google.com/file/d/11chJj2fXslkdfDqnSkz6PFn9Zlwq5cr7/view?usp=share_link,Emotional,4,0,0,0,,MISLEADING,Thousands of law-abiding citizens experienced human rights violations during Martial Law.,"Tweet was a reply to Inquirer's tweet regarding the 50th anniversary of the Martial Law declaration attached with a picture with the quote ""THOSE WHO DO NOT LEARN FROM HISTORY ARE DOOMED TO REPEAT IT.""",,,,,
36-15,30/03/23 17:46:17,https://twitter.com/LovelynNavarro4/status/1470910896155557889?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@LovelynNavarro4,Love lyn Navarro,(No bio),Identified,11/21,1,2,(Not stated),"Noong panahon ni marcos,nacontrol ang pagtaas ng dollar,,ang mura ng galunggong,,why yung hindi nakaabot sa regime ni marcos ang galit na galit,,i was grade 1 nung nag martial law,,i go to scholl alone,because panatag ang mga magulang ko,walang addict sa kalye,,",,Text,15/12/22 08:17,https://drive.google.com/file/d/1-dTLKv9OeX__RbN_zbC5QRrnRUf61tqJ/view?usp=share_link,Emotional,0,0,0,0,,MISLEADING,"The peso-dollar during Marcos' term further depreciated.

","Tweet coming from a seemingly personal account. Account claims that during FEM term, Philipiines was safe and economically good.",,,,,
36-16,30/03/23 18:00:01,https://twitter.com/Boy_pating/status/1524040794570510336?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@Boy_pating,Sharkboy,😇,Anonymous,06/20,608,12,(Not stated),"Ineng maunlad ang Marcos era! Biktima ka ng Rappler at Fakenews! Buksan mo ang mata mo, para hindi ka maging shongabells.😂😂 Nakakahiya kasi hindi ka naman nabuhay nu'ng Martial law kung makapagsalita ka, parang alam mo.🤣🤣🤣",,"Text, Quote Retweet",10/05/22 22:56,https://drive.google.com/file/d/1Fl-tJaf_ZtksC4ddavj6otb45GQgXM_f/view?usp=share_link,Emotional,0,0,0,0,,"MISLEADING, UNPROVEN","FEM Administration did not mark the ""Golden Era;"" economy plummeted during this time.","Tweet simply said ""Maunlad ang Marcos era!"" but did not even claim any reason.",,,,,
36-17,30/03/23 18:06:41,https://twitter.com/pawwvizc/status/1572580597205434368,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@pawwvizc,THE CEREBRAL ASSASSIN,"simple life, positve vibes, don't negative (lason) vibes & good atitude rutheless ERA.....",Anonymous,02/17,401,170,Quezon City,"eto ang katotohanan....
#NeverForget 
#HappyMartialLawDay alt-text: Tweet contains a picture with the text ""ANG KATOTOHANAN SA MARTIAL LAW Para sa mga ORDINARYONG Pilipino, PEACEFUL ang MARTIAL LAW ni PFEM noong 1972 to 1981. Ang NAGPAGULO lamang sa Martial Law ay ang mga KABATAANG AKTIBISTA at mga NPA ni JOMA SISON.""",,"Text, Image",21/09/22 21:36,https://drive.google.com/file/d/1uV6JiUQglIcWjEINICojOf8BkjF2kjJf/view?usp=share_link,Emotional,1,0,0,0,,FALSE,Thousands of law-abiding citizens experienced human rights violations during Martial Law.,"Tweet contains a picture with the text ""ANG KATOTOHANAN SA MARTIAL LAW Para sa mga ORDINARYONG Pilipino, PEACEFUL ang MARTIAL LAW ni PFEM noong 1972 to 1981. Ang NAGPAGULO lamang sa Martial Law ay ang mga KABATAANG AKTIBISTA at mga NPA ni JOMA SISON.""",,,,,
36-18,30/03/23 18:11:06,https://twitter.com/maria_clarita18/status/1398507497246265345,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@maria_clarita18,🇵🇭,🇵🇭,Anonymous,11/20,273,1044,"Davao Region, Davao City",Mas maniniwala pa rin ako sa lolo at lola ko. At sa mga magsasaka na kinatandaan na sa lugar namin kung paano sila umasenso sa panahon ni Marcos at muntik mawalan ng lupa sa panahon ni Cory at paano sila abalahin ng mga hinayupak na NPA nuong araw.😊,,"Text, Quote Retweet",05/29/21 13:12,https://drive.google.com/file/d/1Bg1JUeYGWSExDAGpkwR7OxkDOveRvmc-/view?usp=share_link,Emotional,20,3,3,0,,"MISLEADING, UNPROVEN, NEED CONTEXT","Account cites from personal experience.

While farmers were promised ownership of soil and land reform, Marcos cronies left some farmers oppressed due to levies and rising debts. ",Tweet quote-retweeted a Verafiles project.,,,,,
36-19,30/03/23 18:20:34,https://twitter.com/forever_leiram/status/1572728781638205440,36,"Maximo, Calvin James",MRCS,“Golden era” during the FEM regime,Marcos golden age,@forever_leiram,Leiram 🇵🇭,"SB19 A'tins 🥰
BTOB Melody
SJ ELF 💙
STELL 🍓, EUNKWANG & LEETEUK 🐥 bias",Anonymous,04/12,876,943,Philippines,"Waalng reklamo sa Martial law ang family ko that time, why? Kasi nga mga mabubuti silang mamamayan at hindi sangkot sa anumang balak na pabagsakin ang gobyerno. #HappyMartialLawDay",,Text,09/22/22 07:25,https://drive.google.com/file/d/1_lC5VCLT698KftUMN_uAPBerWka_0RdX/view?usp=share_link,Emotional,3,1,1,0,,MISLEADING,Thousands of law-abiding citizens experienced human rights violations during Martial Law.,,,,,,
36-20,30/03/23 18:37:01,https://twitter.com/magdale2nd/status/1572541731106848773,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@magdale2nd,•••••,"Second account of 
@magdale008
 🥰😭 Smile everyone",Anonymous,08/22,250,90,(Not stated),"Madami ang nagbebenta ng Kasinungalingan Sa MGA KAPWA Pilipino na Si Marcos Ay nag uutos na mag papatay at mag turo lamang ng inosenteng Tao para ipakulong

Aminado tayo na Sa panahon ngayon Hinde Na katiwa tiwala ang Naka saad sa ating AKLAT",,Text,09/21/22 19:02,https://drive.google.com/file/d/1CO6vbvpX3iATOx6yx5llw0t0547UfLjt/view?usp=share_link,Emotional,0,0,0,0,,FALSE,Thousands of law-abiding citizens experienced human rights violations during Martial Law.,Tweet is part of a thread,,,,,
36-21,30/03/23 18:50:11,https://twitter.com/boomboomcarrie1/status/730739680539336704,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@boomboomcarrie1,Kevin CarrieBoomBoom,Music & Entertainment,Anonymous,05/16,12,16,"Jolo, Autonomous Region of Muslim Mindanao","the people who were tortured in martial law are against marcos ideas, kung di sila kumontra sa ideas ni marcos, maunlad pinas",,Text,05/12/16 20:41,https://drive.google.com/file/d/1UWPAMHIqx-1EXPrXOKX93tz8dgZ2qUiM/view?usp=share_link,Emotional,0,0,0,0,,"MISLEADING, FALSE",Thousands of law-abiding citizens experienced human rights violations during Martial Law.,,,,,,
36-22,30/03/23 18:57:19,https://twitter.com/Samantha0797/status/1307831143039868928?s=20,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@Samantha0797,SaJ❤💚✌👊,"Mrs. A❤️❤️❤️

Simply me...😊😜😍😘

still A-Fan☺️

 Love is Love is Love is Love...❤❤❤",Anonymous,07/20,1052,1246,Up North,"For my Abuela those are the Holy days of our country, she said it's more peaceful and orderly then, it is even cheaper to live, pollution are less and all things are still Beautiful, including the Manila bay and the Pasig river, so I said yeah! It is a #HappyMartialLawday",,"Text, Quote Retweet",09/21/20 07:56,https://drive.google.com/file/d/18bdMAJTRJjMQg-RYtJmSFuY3uo_SgD7a/view?usp=share_link,Emotional,7,0,5,0,,MISLEADING,"Inflation reached 50% during Marcos regime.

Martial Law was a time of suppression and a dark chapter in Philippine history, marked by corruption, human rights violations, and fear.",Tweet includes a quote-retweet of a post claiming Ninoy was a communist.,,,,,
36-23,30/03/23 18:59:47,https://twitter.com/jackrose520/status/729784442580045826?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@jackrose520,LQ||BL||CN,followed by @baileymay,Anonymous,08/15,414,1027,(Not stated),Bakit ba kasi pinagpipilitan nyo ang martial law na panira kay bbm accept it or not mas maunlad ang pinas nung marcos pa ang presidente,,Text,10/05/16 05:25,https://drive.google.com/file/d/1RV7hda4gDhou4SgqdfvSwY8usk_CfF7w/view?usp=share_link,Emotional,0,0,0,0,,"MISLEADING, FALSE","FEM Administration did not mark the ""Golden Era;"" economy plummeted during this time.",,,,,,
36-24,30/03/23 19:18:49,https://twitter.com/tellipotz_03/status/1578894063029604352,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,Marcos golden age,@tellipotz_03,Lletram PotPot,(No bio),Anonymous,03/14,120,121,KSA,"Lola ko, parents ko...buhay na din sila nun at sabi naman nila tahimik at maayos... anyare? baka naman pasaway tayo... ha Lopez? 😅🤭",,"Text, Reply",10/09/22 07:44,https://drive.google.com/file/d/1LuSVcHBEsTHHAXQlunmuyW9GkJIyR-GI/view?usp=share_link,Emotional,0,0,0,0,,MISLEADING,Thousands of law-abiding citizens experienced human rights violations during Martial Law.,Tweet is part of an argument between 2 users regarding the declaration of Martial Law during FEM's regime,,,,,
36-25,30/03/23 19:20:34,https://twitter.com/TacoBoss8/status/1499254249330716674,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,Marcos golden age,@TacoBoss8,Taco Boss,Just my two cents,Anonymous,01/22,2367,1638,(Not stated),"Ongoing nga eh kaso namatay navlng wala pa ring nangyari so ubg sabhin inutil kau.. Kau na presdnte pero wla kaung nakuhang hustisya
. Eh di inutil haha buti namn inamn mong ongoing lng hahabiruin mo libo libong torture at kilngs daw gnawa ni fem pero ni isa WALEY.. 😝 😂😂",,"Text, Reply",03/03/22 13:24,https://drive.google.com/file/d/19VNI90m4lPf8LoHgWPzl9l3klyKCuVl-/view?usp=share_link,Emotional,0,0,0,0,,MISLEADING,Thousands of law-abiding citizens experienced human rights violations during Martial Law.,Tweet is part of an argument between 2 users regarding why FEM was not convicted of his crimes during his regime,,,,,
36-26,30/03/23 19:34:27,https://twitter.com/refojlapitan/status/1461162041868230661,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,#MARCOSISAHERO  ,@refojlapitan,Refoj Lap Tan,(No bio),Anonymous,07/14,302,78,"Samara, Russia","Ferdinand Marcos (10th President)
The Best President the Philippines ever had. #MARCOSISAHERO  #MarcosIsthebestpresident",,"Text, Image",18/11/21 10:39,https://drive.google.com/file/d/1Q3F72NDNfkwJ_nTEa-zYstEH5za8MHZ7/view?usp=share_link,Emotional,57,11,10,6,,MISLEADING,SC justices on why 'Marcos is no hero',Tweet is accompanied with a photo of FEM,,,,,
36-27,30/03/23 20:43:11,https://twitter.com/rageagaintsmach/status/1574726647332610053?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@rageagaintsmach,lavine bulls,(No bio),Anonymous,10/09,24,15,(Not stated),Kayo ang bulag naniniwala kayo sa maling info... dumaan kami sa panahon no marcos mapayapa panahon marcos mga npa lang nangugulo sa bansa gago ka pala e.... buhay kana ba martial law?????,,"Text, Reply",27/09/22 19:44,https://drive.google.com/file/d/1w_PVICaj-trnld9zUv3LMTTTphWXg7xy/view?usp=share_link,Emotional,0,0,0,0,,MISLEADING,"Martial Law was a time of suppression and a dark chapter in Philippine history, marked by corruption, human rights violations, and fear.",,,,,,
36-28,30/03/23 20:43:38,https://twitter.com/KuroiNaito05/status/1503048941436563456,36,"Maximo, Calvin James",MRCS,“Golden era” during the FEM regime,FEM golden age,@KuroiNaito05,Frosty,"Simpleng makabayang Pilipino, simpleng UNITEAM supporter!✌️👊🇵🇭",Anonymous,09/21,489,444,(Not stated),"Lahat ng may administrasyon may utang kahit si FEM, si FEM mayroon siyang ""Golden Age of Infrastructure"" lahat iyon pinapagawa sa mga imprastraktura para lahat iyong ay kikita ng kusa at mabayad ang utang, eh si Cory at ang ina niyo, ano maipapagawa, rebulto? Kubeta?",,"Text, Reply",03/14/22 00:42,https://drive.google.com/file/d/1wMzkv-mJu8sZmdV3C7WEwVZXvXc9IPod/view?usp=sharing,Emotional,0,1,0,0,,MISLEADING,The Marcos family still hasn't paid their estate taxes dating back to 1993.,,,,,,
36-29,30/03/23 20:58:55,https://twitter.com/maria47215/status/1565566175538741248?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@maria47215,シャネル❤️,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3🙏🏻📖   CHURCH OF GOD - ACTS 20:28",Anonymous,07/14,3150,1950,Japan,"Hindi mo po ako maloloko buhay ako sa panahon ni Pangulong Marcos South east asia leading ang Pilipinas , tahimik , mapayapa, walang droga naging walang Kapayapaan mula ng si satanas na ninoy at joma sison established CPP/ NPA .. kaya natalo n kayo",,"Text, Reply",02/09/22 13:03,https://drive.google.com/file/d/1cWrwUgpFNwxeNC3kb6ybyq9JfHTjUqOU/view?usp=share_link,Emotional,2,0,0,0,,"MISLEADING, FALSE","Ninoy Aquino is not a CPP-NPA, MNLF organizer.

FEM Administration did not mark the ""Golden Era;"" economy plummeted during this time.

Martial Law was a time of suppression and a dark chapter in Philippine history, marked by corruption, human rights violations, and fear.",,,,,,
